Year,Id_Country,Id_Experience,Id_Salary,Id_Age,Id_Gender,AngularJS,C,CPlusPlus,CSharp,CSS,HTML5,Java,JavaScript,jQuery,Nodejs,ObjectiveC,Perl,PHP,Python,Ruby,SQL,SQL_Server,TypeScript
2016,17,4,2,3,1,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,169,4,2,2,2,,,,C#,,,Java,JavaScript,,Node.js,,,,,,SQL,SQL Server,
2015,93,5,2,3,2,,,,C#,,,Java,,,,,,,,,,,
2016,214,5,2,4,2,,,,,,,Java,,,,,,,,,,,
2016,144,5,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,154,5,2,5,2,,,,C#,,,Java,JavaScript,,,,,,,,,,
2016,23,5,2,3,2,,,,C#,,,Java,JavaScript,,,,,,,,,,
2016,60,5,2,3,2,,,,C#,,,Java,JavaScript,,,,,PHP,,,SQL,SQL Server,
2015,78,5,2,6,2,,,,,,,,JavaScript,,,,Perl,,,,SQL,,
2015,162,5,2,3,2,,,,C#,,,,JavaScript,,,,,PHP,,,SQL,SQL Server,
2016,36,6,2,4,2,,,,,,,,,,,,,PHP,,Ruby,,,
2016,78,6,2,5,2,,,,,,,Java,JavaScript,,Node.js,,,PHP,Python,,SQL,,
2015,49,6,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,Python,,SQL,SQL Server,
2016,93,3,2,2,2,,,,,,,Java,,,,,,,,,SQL,,
2016,107,3,2,3,1,,,,,,,Java,,,,,,,,,,,
2016,93,4,2,3,2,,,,C#,,,,,,,,,,,,SQL,SQL Server,
2016,212,4,2,2,2,,,,,,,,,,,,,PHP,,,,,
2016,199,4,2,6,2,,,,C#,,,,,,,,,PHP,,,,,
2016,12,4,2,3,2,,,,C#,,,,,,,,,,,,SQL,SQL Server,
2016,144,4,2,4,2,,,,,,,Java,,,,,,,,,SQL,,
2016,93,4,2,3,2,,,,,,,,,,,,,PHP,,,,,
2016,210,4,2,3,2,AngularJS,,,,,,Java,JavaScript,,Node.js,,,PHP,,,SQL,,
2016,99,4,2,3,2,,,,,,,Java,JavaScript,,Node.js,,,,,,,,
2016,42,4,2,3,4,,,,,,,Java,JavaScript,,Node.js,,,,Python,Ruby,,,
2015,63,4,2,3,2,,,,,,,,JavaScript,,,,,,Python,,,,
2016,99,4,2,2,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,190,4,2,2,2,AngularJS,,,,,,Java,JavaScript,,,,,PHP,,,,,
2016,164,4,2,3,2,AngularJS,,,,,,Java,JavaScript,,Node.js,,,PHP,,,SQL,,
2016,36,4,2,3,2,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,168,5,2,3,2,,,,,,,,,,,,,PHP,Python,,,,
2016,169,5,2,3,2,,C,C++,,,,Java,,,,,,,,,,,
2016,162,5,2,4,2,,,,,,,,,,,,,PHP,,,,,
2016,196,5,2,3,2,,,,C#,,,,,,,,,,Python,,SQL,,
2015,104,5,2,2,2,,,,,,,Java,,,,,,,,,,,
2016,199,5,2,5,2,,,,,,,Java,JavaScript,,,,,,,,SQL,,
2016,190,5,2,4,2,,,,,,,Java,JavaScript,,,,,,,,,,
2016,168,5,2,2,2,AngularJS,,,,,,Java,JavaScript,,Node.js,,,PHP,,,,,
2016,74,5,2,4,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,81,6,2,6,2,,,C++,C#,,,Java,JavaScript,,,,,PHP,,,SQL,,
2015,59,6,2,5,2,,,,C#,,,,JavaScript,,,,,,,,,,
2016,196,6,2,3,2,AngularJS,,,C#,,,Java,JavaScript,,Node.js,Objective-C,,PHP,Python,,SQL,,
2016,147,6,2,7,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,17,3,2,2,2,,,,C#,,,,,,,,,,,,,,
2016,206,3,2,2,2,,,,,,,Java,,,,,,,,,,,
2016,90,3,2,2,2,,,,,,,Java,JavaScript,,Node.js,,,PHP,Python,,SQL,,
2015,42,3,2,3,1,,,,,,,,JavaScript,,,,,PHP,,,SQL,,
2016,162,4,2,3,2,AngularJS,,,,,,,,,,,,PHP,,,SQL,,
2016,24,4,2,2,2,AngularJS,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,74,4,2,3,2,,,,,,,Java,JavaScript,,Node.js,,,PHP,,,,,
2016,144,4,2,5,1,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,144,4,2,3,2,AngularJS,,,C#,,,Java,JavaScript,,Node.js,,,,,,SQL,SQL Server,
2015,162,5,2,3,2,,,,,,,,,,,,,PHP,,,SQL,,
2016,210,5,2,2,2,,,,,,,,,,,,,,,Ruby,,,
2016,33,5,2,3,2,,,,,,,Java,,,Node.js,Objective-C,,,,Ruby,SQL,,
2015,55,5,2,4,2,,,,,,,Java,JavaScript,,,,,,,,,SQL Server,
2015,219,5,2,4,1,,,,,,,Java,JavaScript,,,,,PHP,,,,,
2016,168,5,2,5,2,,,,,,,Java,JavaScript,,,,Perl,PHP,,,SQL,,
2016,169,6,2,6,2,,,,,,,,,,,,,,Python,,SQL,,
2016,59,6,2,4,2,,,,C#,,,Java,JavaScript,,Node.js,,,,Python,,SQL,SQL Server,
2016,144,6,2,5,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,144,6,2,5,2,,,,,,,Java,JavaScript,,,,,PHP,,Ruby,,,
2016,190,3,2,3,2,,,,,,,,,,,,,,,Ruby,SQL,,
2016,99,3,2,2,2,AngularJS,,C++,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,97,3,2,3,4,,,,,,,Java,JavaScript,,,,,,Python,,SQL,,
2015,78,4,2,2,2,,,,,,,Java,,,,,,,,Ruby,,,
2016,168,4,2,3,2,,,,C#,,,,,,,,,,,,SQL,,
2015,212,4,2,3,2,,,,,,,,,,,,,PHP,,,,,
2016,184,4,2,2,2,AngularJS,,,C#,,,Java,,,,,,PHP,,,SQL,,
2016,144,4,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,91,4,2,2,2,AngularJS,,,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,144,4,2,2,2,,,,C#,,,Java,JavaScript,,,,,PHP,,,SQL,SQL Server,
2016,74,4,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,74,4,2,2,2,,,,C#,,,Java,JavaScript,,,,,PHP,Python,,,,
2016,213,4,2,2,4,,,,,,,Java,JavaScript,,,,,,,Ruby,SQL,SQL Server,
2016,212,4,2,2,2,,,,C#,,,Java,JavaScript,,,,,,,,SQL,,
2016,23,4,2,3,2,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,210,5,2,3,2,,C,C++,C#,,,,,,,,,,Python,,SQL,,
2016,164,5,2,4,2,,,,,,,Java,,,,,,,,,SQL,,
2016,12,5,2,5,2,,,,,,,Java,,,,,,,,,,,
2016,77,5,2,3,2,AngularJS,,,C#,,,Java,JavaScript,,,,,,,,,,
2016,144,5,2,2,2,,,,C#,,,Java,JavaScript,,,,,PHP,,,SQL,SQL Server,
2015,162,5,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,Python,,,,
2015,162,5,2,1,2,,,,C#,,,Java,JavaScript,,Node.js,,,,Python,,SQL,,
2016,33,5,2,3,2,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,12,5,2,4,2,AngularJS,,,,,,Java,JavaScript,,Node.js,,,,,,SQL,,
2015,78,5,2,2,2,,C,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2015,177,5,2,4,2,,,,C#,,,,JavaScript,,,,,,,,SQL,,
2016,12,5,2,5,2,,,,,,,Java,JavaScript,,,,,,,,,,
2016,42,2,2,2,2,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,29,6,2,5,2,,,,,,,Java,,,,,,,,,,,
2016,17,6,2,4,2,,,,,,,Java,,,,,,PHP,,,,,
2015,74,3,2,2,2,,,,,,,,,,,,,PHP,,,SQL,,
2016,74,3,2,1,2,,,,,,,,,,,,,,,,SQL,,
2016,42,3,2,3,2,,,,,,,Java,JavaScript,,,,,,,,,,
2016,162,3,2,2,2,AngularJS,,,,,,Java,JavaScript,,Node.js,,,,Python,,SQL,,
2016,99,4,2,5,2,,,,,,,,,,,,,,Python,,,,
2016,59,4,2,3,2,,,,C#,,,,,,,,,,,,SQL,SQL Server,
2016,199,4,2,4,2,,,,,,,Java,,,,,,,,,,,
2016,49,4,2,2,1,,C,C++,,,,,,,,,,,Python,,,,
2016,168,4,2,3,2,,,,,,,,,,,,,,Python,,,,
2015,162,4,2,2,2,,,,C#,,,Java,,,,,,,,,SQL,,
2016,169,4,2,3,2,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,144,4,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,,,,,
2016,162,4,2,3,2,,,,,,,Java,JavaScript,,,,,,,,SQL,,
2016,212,5,2,5,2,,,,,,,Java,,,,,Perl,PHP,,,SQL,,
2016,210,5,2,4,2,,,C++,,,,,,,Node.js,,,,Python,,,,
2016,21,5,2,4,2,,,,,,,,,,,,,,Python,,,,
2016,108,5,2,3,2,,,,,,,Java,JavaScript,,Node.js,,,PHP,,,SQL,,
2016,93,5,2,3,2,AngularJS,,,,,,Java,JavaScript,,,,,,,,SQL,,
2015,144,5,2,3,2,,,,,,,,JavaScript,,,,,PHP,,,SQL,,
2016,212,5,2,5,2,,,,,,,Java,JavaScript,,,,,PHP,,,,,
2016,81,5,2,6,2,,,,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,59,5,2,3,2,,,,,,,Java,JavaScript,,,,,PHP,Python,,SQL,,
2016,99,5,2,3,2,,,,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,74,2,2,2,2,AngularJS,,,,,,Java,JavaScript,,Node.js,,,,,,,,
2016,81,6,2,5,2,,,,,,,Java,,,,,,,,,,,
2016,93,6,2,4,2,AngularJS,,,C#,,,Java,JavaScript,,Node.js,Objective-C,,,,Ruby,SQL,SQL Server,
2015,213,6,2,4,2,,,,,,,,JavaScript,,,,Perl,PHP,Python,,,,
2016,212,3,2,3,2,,,,,,,,,,,,,,Python,,,,
2016,6,3,2,2,2,AngularJS,,C++,C#,,,Java,JavaScript,,Node.js,Objective-C,,PHP,Python,,SQL,,
2016,99,3,2,4,2,,,,,,,Java,JavaScript,,,,,,Python,,,,
