Id_Country,Des_Country
129,Mauritius
216,Vanuatu
91,Hungary
37,Burkina
179,Serbia
128,Mauritania
9,Antarctica
100,Ivory Coast
152,Norway
19,Bahamas
66,Egypt
60,Denmark
211,United Arab Emirates
193,Sudan
49,China
141,Myanmar
56,Croatia
162,Poland
218,Vatican City State
117,Lithuania
85,Guinea
155,Palau
90,Hong Kong
112,Latvia
75,French Guyana
13,Armenia
115,Libya
150,Nigeria
98,Israel
183,Slovak Republic
106,Korea North
4,Algeria
25,Belize
119,Macau
95,Iran
199,Taiwan
126,Malta
124,Maldives
68,Eritrea
191,Sri Lanka
205,Tunisia
206,Turkey
24,Belgium
145,Netherlands Antilles
67,El Salvador
97,Ireland
45,Central African Rep
102,Japan
181,Sierra Leone
58,Cyprus
175,San Marino
27,Bermuda
154,Pakistan
63,Dominican Republic
104,Kazakhstan
121,Madagascar
57,Cuba
198,Syria
212,United Kingdom
189,South Sudan
144,Netherlands
160,Philippines
228,Continente
46,Central America
114,Lesotho
210,Ukraine
89,Honduras
185,Slovenia
190,Spain
136,Mongolia
18,Azerbaijan
77,Georgia
65,Ecuador
84,Guatemala
203,Togo
204,Trinidad and Tobago
20,Bahrain
157,Panama
32,Bouvet Island
36,Bulgaria
156,Palestine
196,Sweden
132,Middle East
5,American Samoa
220,Vietnam
176,Sao Tome & Principe
138,Montserrat
166,Qatar
17,Austria
169,Russia
6,Andorra
146,New Caledonia
125,Mali
82,Grenada
159,Peru
195,Swaziland
70,Ethiopia
103,Jordan
52,Comoros
71,Falkland Islands
153,Oman
83,Guam
99,Italy
12,Argentina
170,Rwanda
134,Moldova
72,Fiji
120,Macedonia
15,Australasia
215,Uzbekistan
76,Gabon
16,Australia
229,Other
39,Burundi
200,Tajikistan
81,Greece
105,Kenya
59,Czech Republic
182,Singapore
172,Saint Helena
51,Colombia
79,Ghana
74,France
178,Senegal
131,Micronesia
177,Saudi Arabia
41,Cameroon
62,Dominica
192,St Kitts & Nevis
168,Romania
22,Barbados
87,Haiti
50,Christmas Island
92,Iceland
88,Heard and McDonald Islands
208,U.S. Minor Outlying Islands
107,Korea South
130,Mexico
173,Saint Lucia
213,United States of America
47,Chad
54,Cook Islands
86,Guyana
227,Null
108,Kosovo
42,Canada
187,Somalia
94,Indonesia
118,Luxembourg
167,Reunion
171,S. Georgia & S. Sandwich Isls.
61,Djibouti
40,Cambodia
135,Monaco
26,Benin
3,Albania
101,Jamaica
2,Aland Islands
139,Morocco
109,Kuwait
123,Malaysia
31,Botswana
142,Namibia
207,Turkmenistan
184,Slovakia
11,Antigua and Barbuda
113,Lebanon
93,India
34,British Indian Ocean Territory
35,Brunei
48,Chile
80,Gibraltar
180,Seychelles
116,Liechtenstein
161,Pitcairn Island
28,Bhutan
23,Belarus
21,Bangladesh
127,Martinique
164,Portugal
158,Paraguay
219,Venezuela
202,Thailand
96,Iraq
148,Nicaragua
214,Uruguay
188,South Africa
110,Kyrgyzstan
122,Malawi
143,Nepal
194,Suriname
55,Costa Rica
29,Bolivia
147,New Zealand
69,Estonia
38,Burkina Faso
7,Angola
149,Niger
186,Solomon Islands
30,Bosnia-Herzegovina
174,Saint Vincent & Grenadines
73,Finland
33,Brazil
163,Polynesia
201,Tanzania
10,Antigua & Deps
8,Anguilla
165,Puerto Rico
140,Mozambique
209,Uganda
64,East Timor
44,Cayman Islands
111,Laos
133,Moldavia
217,Vatican City
78,Germany
53,Congo
1,Afghanistan
14,Aruba
197,Switzerland
151,Northern Mariana Islands
43,Cape Verde
137,Montenegro
