Year,Id_Country,Country,Des_Country
2011,Africa,228,Continente
2011,Australasia,15,Australasia
2011,Australia,16,Australia
2011,Canada,42,Canada
2011,Central America,46,Central America
2011,France,74,France
2011,Germany,78,Germany
2011,India,93,India
2011,Italy,99,Italy
2011,Mexico,130,Mexico
2011,Middle East,132,Middle East
2011,Netherlands,144,Netherlands
2011,North America (Other),228,Continente
2011,Other Asia,228,Continente
2011,Other Europe,228,Continente
2011,Russia,169,Russia
2011,South America,228,Continente
2011,United Kingdom,212,United Kingdom
2011,United States of America,213,United States of America
2012,Africa,228,Continente
2012,Australasia,15,Australasia
2012,Australia,16,Australia
2012,Bangladesh,21,Bangladesh
2012,Canada,42,Canada
2012,Central America,46,Central America
2012,France,74,France
2012,Germany,78,Germany
2012,India,93,India
2012,Italy,99,Italy
2012,Mexico,130,Mexico
2012,Middle East,132,Middle East
2012,Netherlands,144,Netherlands
2012,North America (Other),228,Continente
2012,Other Asia,228,Continente
2012,Other Europe,228,Continente
2012,Russia,169,Russia
2012,South America,228,Continente
2012,United Kingdom,212,United Kingdom
2012,United States of America,213,United States of America
2012,,227,Null
2013,Africa,228,Continente
2013,Australasia,15,Australasia
2013,Australia,16,Australia
2013,Bangladesh,21,Bangladesh
2013,Canada,42,Canada
2013,Central America,46,Central America
2013,France,74,France
2013,Germany,78,Germany
2013,India,93,India
2013,Italy,99,Italy
2013,Mexico,130,Mexico
2013,Middle East,132,Middle East
2013,Netherlands,144,Netherlands
2013,North America (Other),228,Continente
2013,Other Asia,228,Continente
2013,Other Europe,228,Continente
2013,Response,,
2013,Russia,169,Russia
2013,South America,228,Continente
2013,United Kingdom,212,United Kingdom
2013,United States of America,213,United States of America
2013,,227,Null
2014,Algeria,4,Algeria
2014,Argentina,12,Argentina
2014,Armenia,13,Armenia
2014,Australia,16,Australia
2014,Austria,17,Austria
2014,Bangladesh,21,Bangladesh
2014,Belarus,23,Belarus
2014,Belgium,24,Belgium
2014,Bolivia,29,Bolivia
2014,Bosnia and Herzegovina,30,Bosnia-Herzegovina
2014,Brazil,33,Brazil
2014,Bulgaria,36,Bulgaria
2014,Cambodia,40,Cambodia
2014,Canada,42,Canada
2014,Chile,48,Chile
2014,China,49,China
2014,Colombia,51,Colombia
2014,Costa Rica,55,Costa Rica
2014,Croatia,56,Croatia
2014,Cyprus,58,Cyprus
2014,Czech Republic,59,Czech Republic
2014,Denmark,60,Denmark
2014,Dominican Republic,63,Dominican Republic
2014,Ecuador,65,Ecuador
2014,Egypt,66,Egypt
2014,El Salvador,67,El Salvador
2014,Estonia,69,Estonia
2014,Finland,73,Finland
2014,France,74,France
2014,Georgia,77,Georgia
2014,Germany,78,Germany
2014,Ghana,79,Ghana
2014,Greece,81,Greece
2014,Guatemala,84,Guatemala
2014,Hong Kong,90,Hong Kong
2014,Hungary,91,Hungary
2014,Iceland,92,Iceland
2014,India,93,India
2014,Indonesia,94,Indonesia
2014,Iran,95,Iran
2014,Ireland,97,Ireland
2014,Israel,98,Israel
2014,Italy,99,Italy
2014,Japan,102,Japan
2014,Jordan,103,Jordan
2014,Kazakhstan,104,Kazakhstan
2014,Kenya,105,Kenya
2014,Kuwait,109,Kuwait
2014,Latvia,112,Latvia
2014,Lebanon,113,Lebanon
2014,Lithuania,117,Lithuania
2014,Luxembourg,118,Luxembourg
2014,Macedonia [FYROM],120,Macedonia
2014,Malaysia,123,Malaysia
2014,Malta,126,Malta
2014,Mexico,130,Mexico
2014,Moldova,134,Moldova
2014,Morocco,139,Morocco
2014,Myanmar [Burma],141,Myanmar
2014,Nepal,143,Nepal
2014,Netherlands,144,Netherlands
2014,New Zealand,147,New Zealand
2014,Nigeria,150,Nigeria
2014,Norway,152,Norway
2014,Other,229,Other
2014,Pakistan,154,Pakistan
2014,Palestine,156,Palestine
2014,Peru,159,Peru
2014,Philippines,160,Philippines
2014,Poland,162,Poland
2014,Portugal,164,Portugal
