country,self_identification,experience_range,salary_range,tech_do
United States,Engineer,11+ years,"$180,000 - $190,000",C++; iOS; Python
United States,Developer; Engineer; Programmer,11+ years,"$180,000 - $190,000",C++; C#; Matlab
United States,Programmer,2 - 5 years,"$190,000 - $200,000",C++; Go; Java; Python
United States,Developer,11+ years,"$190,000 - $200,000",Arduino / Raspberry Pi; C++; iOS; Java; MongoDB; Node.js; Objective-C; Python
United States,Developer; Engineer; Sr. Developer; Expert,6 - 10 years,"$180,000 - $190,000",C++; C#
Canada,Programmer; Sr. Developer; Guru; Hacker,11+ years,"$190,000 - $200,000",C; C++; Perl
United States,Engineer,6 - 10 years,"$180,000 - $190,000",Cassandra; Python
Switzerland,Engineer,11+ years,"$180,000 - $190,000",C#; F#; Java; JavaScript; SQL; SQL Server
United States,Developer; Sr. Developer; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000",Java; JavaScript; SQL Server
Austria,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",Android; AngularJS; C; C++; C#; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; Objective-C; ReactJS; Scala; SQL; SQL Server
United States,Engineer; Sr. Developer; Manager; Rockstar,11+ years,"$190,000 - $200,000",Android; C++; Java; Python
United States,Engineer,11+ years,"$190,000 - $200,000",C; Perl
United States,Sr. Developer; Manager,11+ years,"$190,000 - $200,000",C++; Python
United States,Developer,11+ years,"$180,000 - $190,000",C#; SQL Server
Australia,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar,6 - 10 years,"$180,000 - $190,000","Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Windows Phone; WordPress"
Brazil,Developer; Programmer; Full Stack Overflow Developer,2 - 5 years,Other (please specify),iOS; Ruby; Swift
Pakistan,Developer,Less than 1 year,Other (please specify),Android
Germany,Programmer; Rockstar; Ninja,6 - 10 years,Other (please specify),Arduino / Raspberry Pi; C; C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL
United States,Developer; Engineer; Programmer; Rockstar,2 - 5 years,"$180,000 - $190,000",Android; Arduino / Raspberry Pi; C++; C#; Cassandra; Hadoop; Java; JavaScript; Perl; PHP; Python; Ruby; SQL; SQL Server
Russian Federation,Developer; Programmer,6 - 10 years,Other (please specify),Clojure; Rust
Ukraine,Developer; Engineer; Programmer; Full-stack Developer,1 - 2 years,Other (please specify),"Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; ReactJS"
United Kingdom,Developer; Programmer; Guru,11+ years,"$180,000 - $190,000",Python; R; SQL
United Kingdom,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; SQL; SQL Server
India,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,Other (please specify),Android; C++; Java; JavaScript; PHP; SQL
Germany,Developer; Engineer; Expert; Hacker,11+ years,"$190,000 - $200,000",Arduino / Raspberry Pi; C; JavaScript
United States,Sr. Developer,11+ years,"$180,000 - $190,000",iOS; Objective-C
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Guru; Expert; Full-stack Developer; Hacker,11+ years,"$190,000 - $200,000","AngularJS; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; LAMP; Node.js; Objective-C; PHP; Redis; Ruby; WordPress"
United Kingdom,Engineer; Sr. Developer,11+ years,"$190,000 - $200,000",Java; Scala
United States,Engineer; Programmer; Sr. Developer; Ninja; Guru; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000","Android; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); Go; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; SQL; SQL Server"
United States,Developer; Programmer; Sr. Developer,11+ years,"$180,000 - $190,000",C#; SQL; SQL Server
United States,Developer; Programmer; Manager; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,Other (please specify),"Android; AngularJS; C++; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); F#; iOS; Java; JavaScript; MongoDB; Node.js; Ruby; SQL; SQL Server; Swift; Windows Phone; WordPress"
United States,Developer; Engineer; Sr. Developer; Manager; Full-stack Developer,2 - 5 years,"$190,000 - $200,000",C#; JavaScript; Python
Spain,Developer; Manager; Rockstar; Ninja; Expert,1 - 2 years,"$190,000 - $200,000","Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress"
Belgium,Developer; Engineer; Programmer,6 - 10 years,Other (please specify),Android; Java
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$190,000 - $200,000",AngularJS; C#; JavaScript; SQL
