Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
India,NA,Mobile developer,NA,NA
Kenya,NA,NA,NA,NA
France,NA,Embedded applications/devices developer,NA,NA
India,NA,Web developer; Desktop applications developer,NA,NA
Canada,NA,Other,NA,NA
I prefer not to say,NA,NA,NA,NA
Indonesia,NA,NA,NA,NA
Azerbaidjan,NA,NA,NA,NA
Pakistan,NA,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,NA,NA
Estonia,NA,NA,NA,NA
Anguilla,NA,Data scientist,NA,NA
United States,NA,Web developer; Mobile developer,NA,NA
United Kingdom,NA,Embedded applications/devices developer,NA,NA
India,NA,Web developer,NA,NA
India,NA,NA,NA,NA
United States,NA,NA,NA,NA
Armenia,NA,NA,NA,NA
India,NA,NA,NA,NA
India,NA,Mobile developer,NA,NA
India,NA,NA,NA,NA
Canada,NA,NA,NA,NA
India,NA,Mobile developer,NA,1761.85582146528
Switzerland,NA,NA,NA,NA
Pakistan,NA,NA,NA,NA
India,NA,Web developer,NA,NA
United States,NA,Mobile developer,NA,NA
I prefer not to say,NA,Web developer,NA,NA
Germany,NA,Web developer; Desktop applications developer,NA,NA
Portugal,NA,NA,NA,NA
India,NA,Desktop applications developer,NA,0
United States,NA,NA,NA,NA
Israel,NA,Developer with a statistics or mathematics background,NA,NA
Germany,NA,NA,NA,NA
Uganda,NA,NA,NA,NA
India,NA,Web developer; Developer with a statistics or mathematics background,NA,3670.53296138599
United States,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
United States,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
Philippines,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
Ecuador,NA,Web developer; Data scientist; Database administrator,NA,NA
Afghanistan,NA,Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,NA,NA
