Year,Id_Country,Id_Experience,Id_Ocupation,Id_Salary,Id_Age,Id_Gender,AngularJS,C,Cplusplus,CSharp,CSS,HTML5,Java,JavaScript,jQuery,Nodejs,ObjectiveC,Perl,PHP,Python,Ruby,SQL,SQL_Server,TypeScript
2011,Germany,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,11,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Australia,<2,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Africa,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,South America,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Africa,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,<2,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Australia,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Canada,41435,,,40-50,,,,,,,,,,,,,,,,,,,
2011,United States of America,41435,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,41435,,,20-24,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,Germany,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41435,,,30-34,,,,,,,,,,,,,,,,,,,
2011,South America,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Netherlands,11,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,41435,,,< 20,,,,,,,,,,,,,,,,,,,
2011,United States of America,41435,,,30-34,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,United States of America,11,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Italy,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Middle East,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Asia,,,,,,,,,,,,,,,,,,,,,,,
2011,France,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41435,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Canada,,,,,,,,,,,,,,,,,,,,,,,
2011,Mexico,,,,,,,,,,,,,,,,,,,,,,,
2011,Canada,,,,,,,,,,,,,,,,,,,,,,,
2011,Canada,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Other Europe,<2,,,< 20,,,,,,,,,,,,,,,,,,,
2011,France,41435,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Asia,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Netherlands,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,India,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Canada,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,<2,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Russia,<2,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Other Asia,<2,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,South America,<2,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Russia,41310,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Germany,41435,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41435,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Asia,,,,,,,,,,,,,,,,,,,,,,,
2011,France,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,11,,,30-34,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,Australia,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,41435,,,40-50,,,,,,,,,,,,,,,,,,,
2011,Africa,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Other Asia,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Asia,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,India,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Australasia,41435,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Germany,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Germany,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,<2,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Other Asia,41435,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,France,41435,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,11,,,40-50,,,,,,,,,,,,,,,,,,,
2011,United States of America,41435,,,20-24,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Other Asia,<2,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United States of America,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Germany,11,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Middle East,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41435,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,Germany,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,<2,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,Middle East,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,11,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Russia,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,India,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Central America,,,,,,,,,,,,,,,,,,,,,,,
2011,Mexico,,,,,,,,,,,,,,,,,,,,,,,
2011,Canada,,,,,,,,,,,,,,,,,,,,,,,
2011,Mexico,,,,,,,,,,,,,,,,,,,,,,,
2011,Mexico,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,41435,,,35-39,,,,,,,,,,,,,,,,,,,
2011,Russia,41310,,,20-24,,,,,,,,,,,,,,,,,,,
2011,United States of America,41310,,,25-29,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Germany,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2011,United States of America,<2,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Middle East,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Italy,41310,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,,,,,,,,,,,,,,,,,,,,,,,
2011,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
2011,Other Europe,41310,,,< 20,,,,,,,,,,,,,,,,,,,
2011,Other Asia,41435,,,30-34,,,,,,,,,,,,,,,,,,,
2011,Africa,41435,,,25-29,,,,,,,,,,,,,,,,,,,
2011,Australia,41310,,,40-50,,,,,,,,,,,,,,,,,,,
