Year,Id_Country,Id_Experience,Id_Ocupation,Id_Salary,Id_Age,Id_Gender,AngularJS,C,CPlusPlus,CSharp,CSS,HTML5,Java,JavaScript,jQuery,Nodejs,ObjectiveC,Perl,PHP,Python,Ruby,SQL,SQL_Server,TypeScript
2012,Other Europe,40944,,,20-24,,,,,,,,,,,,,,,,,,,
2012,France,11,Desktop Application Developer,,35-39,,,,,,,,,,,,,,,,,,,
2012,Other Europe,40944,Desktop Application Developer,,20-24,,,,,,,,,,,,,,,,,,,
2012,India,,,,,,,,,,,,,,,,,,,,,,,
2012,United Kingdom,11,Web Application Developer,,40-50,,,,,,,,,,,,,,,,,,,
2012,Canada,11,Web Application Developer,,25-29,,,,,,,,,,,,,,,,,,,
2012,Africa,41070,,,25-29,,,,,,,,,,,,,,,,,,,
2012,France,<2,Student,,20-24,,,,,,,,,,,,,,,,,,,
2012,United States of America,11,,,40-50,,,,,,,,,,,,,,,,,,,
2012,India,,,,,,,,,,,,,,,,,,,,,,,
2012,Germany,40944,Web Application Developer,,20-24,,,,,,,,,,,,,,,,,,,
2012,Other Europe,40944,,,30-34,,,,,,,,,,,,,,,,,,,
2012,Other Europe,<2,Web Application Developer,,20-24,,,,,,,,,,,,,,,,,,,
2012,Australasia,,,,,,,,,,,,,,,,,,,,,,,
2012,Canada,40944,,,20-24,,,,,,,,,,,,,,,,,,,
2012,India,,,,,,,,,,,,,,,,,,,,,,,
2012,India,,,,,,,,,,,,,,,,,,,,,,,
2012,Other Asia,,,,,,,,,,,,,,,,,,,,,,,
2012,United States of America,,,,,,,,,,,,,,,,,,,,,,,
2012,Italy,41070,,,30-34,,,,,,,,,,,,,,,,,,,
2012,France,41070,,,30-34,,,,,,,,,,,,,,,,,,,
2012,United States of America,41070,Desktop Application Developer,,40-50,,,,,,,,,,,,,,,,,,,
2012,Other Europe,40944,,,20-24,,,,,,,,,,,,,,,,,,,
2012,Other Europe,11,,,30-34,,,,,,,,,,,,,,,,,,,
2012,Other Asia,,,,,,,,,,,,,,,,,,,,,,,
2012,Mexico,41070,,,25-29,,,,,,,,,,,,,,,,,,,
2012,Other Europe,40944,Other,,25-29,,,,,,,,,,,,,,,,,,,
