Year,Id_Country,Id_Experience,Id_Ocupation,Id_Salary,Id_Age,Id_Gender,AngularJS,C,CPlusPlus,CSharp,CSS,HTML5,Java,JavaScript,jQuery,Nodejs,ObjectiveC,Perl,PHP,Python,Ruby,SQL,SQL_Server,TypeScript
2015,Belgium,11+ years,Back-end web developer,,30-34,Male,,,,,,,Java,JavaScript,,,,,,,Ruby,SQL,,
2015,India,1 - 2 years,Back-end web developer,,25-29,Male,,,,,,,,JavaScript,,,,,PHP,,,,,
2015,N/A,11+ years,Back-end web developer,,40-50,Male,,,C++,C#,,,,,,,,,,,,,,
2015,Germany,6 - 10 years,Back-end web developer,,40-50,Male,,,,C#,,,Java,JavaScript,,,,,,,,,,
2015,India,6 - 10 years,Back-end web developer,,35-39,Male,,,,C#,,,,JavaScript,,,,,,,,SQL,SQL Server,
2015,Germany,1 - 2 years,Data scientist,,25-29,Male,,,,,,,Java,,,,,,,Python,,,,
2015,N/A,6 - 10 years,Designer,,30-34,Male,,C,C++,,,,,,,,,,,,,,,
2015,China,2 - 5 years,Designer,,25-29,Male,,C,C++,,,,,,,,,,,,,,,
2015,N/A,2 - 5 years,Desktop developer,,Prefer not to disclose,Prefer not to disclose,,,,C#,,,,,,,,,,,,SQL,SQL Server,
2015,India,Less than 1 year,Desktop developer,,< 20,Male,,,,,,,,,,,,,,,,,,
2015,United Kingdom,11+ years,Desktop developer,,35-39,Male,,,,,,,,,,,,,,,,,,
2015,United States,2 - 5 years,Embedded application developer,,25-29,Male,,,,,,,,,,,,,,Python,,,,
2015,Poland,Less than 1 year,Embedded application developer,,20-24,Male,,C,C++,,,,Java,JavaScript,,,,,PHP,Python,,SQL,,
2015,India,1 - 2 years,Front-end web developer,,20-24,Female,,,,,,,Java,,,,,,,,,,,
2015,India,2 - 5 years,Front-end web developer,,25-29,Male,,,,,,,,,,,,,PHP,,,,SQL Server,
2015,Switzerland,11+ years,Front-end web developer,,30-34,Male,,,,,,,,JavaScript,,Node.js,,,,,,SQL,,
2015,Turkey,1 - 2 years,Front-end web developer,,20-24,Male,,,C++,,,,,JavaScript,,,,,,,,,,
2015,Germany,6 - 10 years,Full-stack web developer,,30-34,Male,,C,,,,,,JavaScript,,,,,PHP,Python,,SQL,,
2015,N/A,11+ years,Full-stack web developer,,35-39,Male,,,,,,,Java,,,,,,,,,,,
2015,Germany,1 - 2 years,Full-stack web developer,,25-29,Male,,,,,,,,JavaScript,,,,,,,Ruby,,,
2015,India,2 - 5 years,Full-stack web developer,,25-29,Male,,,,C#,,,,,,,,,,,,,SQL Server,
2015,Iran,6 - 10 years,Full-stack web developer,,25-29,Male,,,,C#,,,Java,JavaScript,,,,,PHP,,,,,
2015,Netherlands,6 - 10 years,Full-stack web developer,,20-24,Male,,,C++,C#,,,,JavaScript,,,,,PHP,,,SQL,,
2015,Russian Federation,2 - 5 years,Full-stack web developer,,30-34,Male,,,,,,,,JavaScript,,,,,PHP,,,SQL,,
